,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A02,ROX,,Unkn,Blank,,NaN,0,0,NaN,NaN,0,0,72,
,A03,ROX,,Unkn,003-1,,NaN,0,0,NaN,NaN,0,0,72,
,A04,ROX,,Unkn,003-2,,NaN,0,0,NaN,NaN,0,0,72,
,A05,ROX,,Unkn,003-3,,NaN,0,0,NaN,NaN,0,0,72,
,A06,ROX,,Unkn,003-4,,9.83288233536398,9.83288233536398,0,NaN,NaN,NaN,0,72,
,A07,ROX,,Unkn,003-5,,8.89054325925871,8.89054325925871,0,NaN,NaN,NaN,0,72,
,A08,ROX,,Unkn,010-1,,24.770250732081,24.770250732081,0,NaN,NaN,NaN,0,72,
,A09,ROX,,Unkn,010-2,,34.7568517038331,34.7568517038331,0,NaN,NaN,NaN,0,72,
,B02,ROX,,Unkn,010-3,,NaN,0,0,NaN,NaN,0,0,72,
,B03,ROX,,Unkn,010-4,,NaN,0,0,NaN,NaN,0,0,72,
,B04,ROX,,Unkn,010-5,,NaN,0,0,NaN,NaN,0,0,72,
,B05,ROX,,Unkn,013-1,,NaN,0,0,NaN,NaN,0,0,72,
,B06,ROX,,Unkn,013-2,,3,3,0,NaN,NaN,NaN,0,72,
,B07,ROX,,Unkn,013-3,,NaN,0,0,NaN,NaN,0,0,72,
,B08,ROX,,Unkn,013-4,,NaN,0,0,NaN,NaN,0,0,72,
,B09,ROX,,Unkn,013-5,,37.9556079329026,37.9556079329026,0,NaN,NaN,NaN,0,72,
,C02,ROX,,Unkn,021-1,,NaN,0,0,NaN,NaN,0,0,72,
,C03,ROX,,Unkn,021-2,,NaN,0,0,NaN,NaN,0,0,72,
,C04,ROX,,Unkn,021-3,,NaN,0,0,NaN,NaN,0,0,72,
,C05,ROX,,Unkn,021-4,,NaN,0,0,NaN,NaN,0,0,72,
,C06,ROX,,Unkn,021-5,,NaN,0,0,NaN,NaN,0,0,72,
,C07,ROX,,Unkn,Blank,,NaN,0,0,NaN,NaN,0,0,72,
,C08,ROX,,Unkn,038-1,,NaN,0,0,NaN,NaN,0,0,72,
,C09,ROX,,Unkn,038-2,,NaN,0,0,NaN,NaN,0,0,72,
