091E1;0;;0.435;mg/L;0.0115;06/27/2022 5:21:01 PM;WNHR;1
091E2;0;;0.386;mg/L;0.0095;06/27/2022 5:21:19 PM;WNHR;1
091E3;0;;0.394;mg/L;0.0098;06/27/2022 5:22:49 PM;WNHR;1
100E1;0;;1.571;mg/L;0.0584;06/27/2022 5:23:07 PM;WNHR;1
100E2;0;;1.588;mg/L;0.0591;06/27/2022 5:24:37 PM;WNHR;1
100E3;0;;1.689;mg/L;0.0633;06/27/2022 5:24:55 PM;WNHR;1
107E1;0;;0.747;mg/L;0.0244;06/27/2022 5:26:25 PM;WNHR;1
107E2;0;;0.549;mg/L;0.0162;06/27/2022 5:26:43 PM;WNHR;1
107E3;0;;0.767;mg/L;0.0252;06/27/2022 5:28:13 PM;WNHR;1
117E1;0;;0.493;mg/L;0.0139;06/27/2022 5:28:31 PM;WNHR;1
117E2;0;;0.558;mg/L;0.0166;06/27/2022 5:30:01 PM;WNHR;1
117E3;0;;0.554;mg/L;0.0164;06/27/2022 5:30:19 PM;WNHR;1
121E1;0;;0.539;mg/L;0.0158;06/27/2022 5:31:49 PM;WNHR;1
121E2;0;;0.544;mg/L;0.0160;06/27/2022 5:32:07 PM;WNHR;1
121E3;0;;0.527;mg/L;0.0153;06/27/2022 5:33:37 PM;WNHR;1
131E1;0;;2.418;mg/L;0.0934;06/27/2022 5:33:55 PM;WNHR;1
131E2;0;;2.324;mg/L;0.0895;06/27/2022 5:35:25 PM;WNHR;1
131E3;0;;2.326;mg/L;0.0896;06/27/2022 5:35:44 PM;WNHR;1
Blank1E01;0;;0.406;mg/L;0.0103;06/27/2022 5:37:14 PM;WNHR;1
Blank1E02;0;;0.406;mg/L;0.0103;06/27/2022 5:37:32 PM;WNHR;1
Blank1E03;0;;0.464;mg/L;0.0127;06/27/2022 5:39:02 PM;WNHR;1
Blank1BL01;0;;0.181;mg/L;0.0010;06/27/2022 5:39:20 PM;WNHR;1
Blank1BL02;0;;0.200;mg/L;0.0018;06/27/2022 5:40:50 PM;WNHR;1
Blank1BL03;0;;0.205;mg/L;0.0020;06/27/2022 5:41:08 PM;WNHR;1
022L1;0;;2.711;mg/L;0.1055;06/27/2022 5:42:38 PM;WNHR;1
022L2;0;;2.452;mg/L;0.0948;06/27/2022 5:42:56 PM;WNHR;1
022L3;0;;2.520;mg/L;0.0976;06/27/2022 5:44:26 PM;WNHR;1
043L1;0;;0.386;mg/L;0.0095;06/27/2022 5:44:44 PM;WNHR;1
043L2;0;;0.246;mg/L;0.0037;06/27/2022 5:46:14 PM;WNHR;1
