,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,ROX,,Unkn,014-1,,NaN,0,0,NaN,NaN,0,0,72,
,A02,ROX,,Unkn,014-2,,NaN,0,0,NaN,NaN,0,0,72,
,A03,ROX,,Unkn,048-1,,NaN,0,0,NaN,NaN,0,0,72,
,A04,ROX,,Unkn,048-2,,NaN,0,0,NaN,NaN,0,0,72,
,A05,ROX,,Unkn,048-3,,NaN,0,0,NaN,NaN,0,0,72,
,A06,ROX,,Unkn,049-1,,NaN,0,0,NaN,NaN,0,0,72,
,A07,ROX,,Unkn,049-2,,NaN,0,0,NaN,NaN,0,0,72,
,A08,ROX,,Unkn,049-3,,NaN,0,0,NaN,NaN,0,0,72,
,A09,ROX,,Unkn,052-1,,NaN,0,0,NaN,NaN,0,0,72,
,A10,ROX,,Unkn,052-2,,NaN,0,0,NaN,NaN,0,0,72,
,A11,ROX,,Unkn,053-1,,NaN,0,0,NaN,NaN,0,0,72,
,A12,ROX,,Unkn,053-2,,NaN,0,0,NaN,NaN,0,0,72,
,B01,ROX,,Unkn,053-3,,NaN,0,0,NaN,NaN,0,0,72,
,B02,ROX,,Unkn,053-4,,NaN,0,0,NaN,NaN,0,0,72,
,B03,ROX,,Unkn,053-5,,NaN,0,0,NaN,NaN,0,0,72,
,B04,ROX,,Unkn,069-1,,NaN,0,0,NaN,NaN,0,0,72,
,B05,ROX,,Unkn,069-2,,NaN,0,0,NaN,NaN,0,0,72,
,B06,ROX,,Unkn,069-3,,NaN,0,0,NaN,NaN,0,0,72,
,B07,ROX,,Unkn,069-4,,NaN,0,0,NaN,NaN,0,0,72,
,B08,ROX,,Unkn,069-5,,NaN,0,0,NaN,NaN,0,0,72,
,B09,ROX,,Unkn,070-1,,NaN,0,0,NaN,NaN,0,0,72,
,B10,ROX,,Unkn,070-2,,NaN,0,0,NaN,NaN,0,0,72,
,B11,ROX,,Unkn,070-3,,3.60533457504767,3.60533457504767,0,NaN,NaN,NaN,0,72,
,B12,ROX,,Unkn,070-4,,NaN,0,0,NaN,NaN,0,0,72,
,C01,ROX,,Unkn,070-5,,NaN,0,0,NaN,NaN,0,0,72,
,C02,ROX,,Unkn,075-1,,NaN,0,0,NaN,NaN,0,0,72,
,C03,ROX,,Unkn,075-2,,NaN,0,0,NaN,NaN,0,0,72,
,C04,ROX,,Unkn,075-3,,NaN,0,0,NaN,NaN,0,0,72,
,C05,ROX,,Unkn,075-4,,NaN,0,0,NaN,NaN,0,0,72,
,C06,ROX,,Unkn,075-5,,NaN,0,0,NaN,NaN,0,0,72,
,C07,ROX,,Unkn,080-1,,NaN,0,0,NaN,NaN,0,0,72,
,C08,ROX,,Unkn,080-2,,NaN,0,0,NaN,NaN,0,0,72,
,C09,ROX,,Unkn,080-3,,NaN,0,0,NaN,NaN,0,0,72,
